Jaiden Guerra, 48, 3, 68, 76, 72, 65, 82, 84, 85, 60, 84, 30, 59,
Martin Heidegger, 80, 2, 72, 74, 83, 71, 91, 68, 67, 69, 84, 50, 66,
Cairo Sexton, 61, 1, 75, 83, 92, 53, 71, 64, 71, 71, 85, 93, 59,
Kylen Charles, 10, 3, 66, 84, 78, 70, 74, 73, 60, 73, 77, 30, 55,
Daphne Truong, 43, 4, 74, 94, 85, 82, 55, 79, 74, 68, 90, 48, 70,
Holland Jaramillo, 93, 4, 78, 83, 84, 80, 55, 66, 89, 79, 94, 49, 89,
Manuel Lamb, 39, 1, 69, 83, 81, 54, 56, 69, 57, 63, 83, 91, 54,
Seth Dudley, 30, 3, 70, 71, 79, 76, 79, 71, 83, 64, 93, 34, 59,
Mohamed Herring, 56, 3, 76, 94, 81, 77, 77, 70, 72, 83, 89, 39, 76,
Christopher Lim, 63, 1, 70, 85, 88, 56, 76, 64, 62, 58, 92, 64, 50,
Myra Spencer, 39, 4, 76, 95, 86, 92, 57, 61, 80, 65, 82, 49, 83,
Oakley Franklin, 65, 2, 72, 76, 76, 67, 76, 68, 71, 79, 92, 51, 63,
Lea Rosales, 80, 2, 71, 83, 94, 65, 66, 69, 75, 80, 75, 48, 57,
Addilynn Allison, 76, 4, 76, 70, 91, 83, 59, 76, 82, 75, 85, 46, 93,
Paityn Lucero, 34, 2, 68, 71, 93, 55, 91, 57, 57, 62, 80, 42, 68,
Zechariah Beltran, 4, 1, 65, 83, 80, 46, 63, 54, 66, 55, 80, 56, 59,
Brandon Shelton, 67, 1, 72, 94, 79, 53, 65, 61, 63, 73, 95, 81, 50,
Samara Holmes, 5, 4, 75, 74, 85, 82, 57, 73, 82, 77, 92, 50, 82,
Nathaniel Mitchell, 53, 3, 74, 93, 85, 70, 80, 67, 92, 70, 85, 34, 59,
Kira Good, 6, 4, 73, 78, 90, 91, 59, 82, 73, 68, 84, 50, 70,
Nicolas Smith, 45, 3, 74, 78, 93, 77, 66, 91, 91, 69, 90, 44, 64,
Freya Dunlap, 46, 4, 71, 72, 71, 75, 60, 60, 85, 72, 84, 46, 80,
Tinsley Adkins, 71, 2, 73, 92, 93, 73, 84, 65, 64, 64, 76, 53, 61,
Kody Miranda, 44, 3, 70, 71, 93, 61, 63, 89, 77, 77, 78, 38, 79,
Abby Carson, 36, 2, 68, 75, 79, 60, 78, 57, 56, 72, 87, 41, 70,
Armani Marsh, 56, 2, 72, 92, 70, 72, 89, 58, 71, 63, 91, 40, 65,
Layton Middleton, 80, 3, 73, 70, 71, 78, 72, 81, 79, 72, 95, 55, 70,
Stephanie Burnett, 36, 4, 78, 95, 90, 91, 58, 73, 88, 72, 77, 46, 88,
Juliana Joseph, 11, 2, 67, 78, 80, 62, 73, 62, 63, 62, 89, 46, 57,
Saint Thomas Aquinas, 7, 1, 65, 77, 71, 51, 55, 75, 71, 59, 92, 57, 53,
Coen McCarty, 84, 1, 67, 81, 75, 45, 60, 52, 72, 55, 86, 80, 51,
